CHAMP1,CHAMP2,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Nidalee,Ezreal,1,0,1,1.0,0.0,2015,Spring,Blue
Nidalee,Braum,1,0,1,1.0,0.0,2015,Spring,Blue
Tristana,Braum,2,0,2,1.0,0.0,2015,Spring,Blue
Morgana,RekSai,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Red
Gragas,RekSai,1,0,1,1.0,0.0,2015,Spring,Blue
Sivir,Morgana,9,0,9,1.0,0.0,2015,Spring,Blue
Maokai,FiddleSticks,0,1,1,0.0,1.0,2015,Spring,Red
FiddleSticks,Ahri,1,0,1,1.0,0.0,2015,Spring,Red
FiddleSticks,Annie,1,0,1,1.0,0.0,2015,Spring,Red
Ezreal,Annie,5,0,5,1.0,0.0,2015,Spring,Red
Kennen,LeeSin,1,4,5,0.2,0.8,2015,Spring,Red
LeeSin,Leona,2,0,2,1.0,0.0,2015,Spring,Red
Corki,Leona,14,0,14,1.0,0.0,2015,Spring,Red
Lissandra,Sejuani,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Sejuani,Viktor,1,0,1,1.0,0.0,2015,Spring,Blue
Sejuani,Janna,16,0,16,1.0,0.0,2015,Spring,Blue
Jinx,Thresh,16,0,16,1.0,0.0,2015,Spring,Red
Kennen,JarvanIV,0,3,3,0.0,1.0,2015,Spring,Blue
JarvanIV,Viktor,2,0,2,1.0,0.0,2015,Spring,Blue
JarvanIV,Leona,12,0,12,1.0,0.0,2015,Spring,Blue
Corki,Leona,15,0,15,1.0,0.0,2015,Spring,Blue
Lulu,RekSai,1,4,5,0.2,0.8,2015,Spring,Red
Kennen,LeeSin,2,0,2,1.0,0.0,2015,Spring,Blue
LeeSin,Karthus,1,0,1,1.0,0.0,2015,Spring,Blue
Lulu,Vi,1,1,2,0.5,0.5,2015,Spring,Red
JarvanIV,Zed,5,0,5,1.0,0.0,2015,Spring,Blue
Rumble,Vi,3,0,3,1.0,0.0,2015,Spring,Red
Sejuani,Kennen,5,0,5,1.0,0.0,2015,Spring,Blue
Sejuani,Morgana,4,0,4,1.0,0.0,2015,Spring,Blue
JarvanIV,RekSai,0,1,1,0.0,1.0,2015,Spring,Red
Nidalee,Lissandra,2,0,2,1.0,0.0,2015,Spring,Blue
Nidalee,Annie,8,0,8,1.0,0.0,2015,Spring,Blue
Gragas,RekSai,1,3,4,0.25,0.75,2015,Spring,Red
RekSai,Orianna,1,0,1,1.0,0.0,2015,Spring,Red
JarvanIV,Lulu,8,1,9,0.8888888888888888,0.1111111111111111,2015,Spring,Blue
Jinx,Braum,2,0,2,1.0,0.0,2015,Spring,Blue
Vi,Karthus,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Leona,5,0,5,1.0,0.0,2015,Spring,Red
JarvanIV,Viktor,4,0,4,1.0,0.0,2015,Spring,Red
Kennen,Vi,2,0,2,1.0,0.0,2015,Spring,Blue
Irelia,LeeSin,2,4,6,0.3333333333333333,0.6666666666666666,2015,Spring,Red
Irelia,Gragas,1,1,2,0.5,0.5,2015,Spring,Blue
Gragas,Chogath,1,0,1,1.0,0.0,2015,Spring,Blue
Gragas,Leona,2,0,2,1.0,0.0,2015,Spring,Blue
Lucian,Leona,3,0,3,1.0,0.0,2015,Spring,Blue
Rumble,Nidalee,1,0,1,1.0,0.0,2015,Spring,Red
Nidalee,Yasuo,1,0,1,1.0,0.0,2015,Spring,Red
DrMundo,RekSai,0,4,4,0.0,1.0,2015,Spring,Blue
RekSai,Cassiopeia,3,0,3,1.0,0.0,2015,Spring,Blue
Kalista,Janna,11,0,11,1.0,0.0,2015,Spring,Blue
Vi,Lissandra,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Nautilus,1,0,1,1.0,0.0,2015,Spring,Red
Lucian,Nautilus,7,0,7,1.0,0.0,2015,Spring,Red
Lucian,Lulu,6,0,6,1.0,0.0,2015,Spring,Blue
Nunu,Urgot,1,0,1,1.0,0.0,2015,Spring,Red
Nunu,Thresh,5,0,5,1.0,0.0,2015,Spring,Red
Hecarim,Zac,1,1,2,0.5,0.5,2015,Spring,Red
Zac,Leblanc,1,0,1,1.0,0.0,2015,Spring,Red
Zac,Janna,1,0,1,1.0,0.0,2015,Spring,Red
Lulu,Sejuani,2,3,5,0.4,0.6,2015,Spring,Blue
Sejuani,Karthus,2,0,2,1.0,0.0,2015,Spring,Blue
Lucian,Janna,21,0,21,1.0,0.0,2015,Spring,Blue
Gragas,Vi,1,0,1,1.0,0.0,2015,Spring,Red
Sion,Zac,0,1,1,0.0,1.0,2015,Spring,Blue
Zac,Xerath,2,0,2,1.0,0.0,2015,Spring,Blue
Zac,Janna,2,0,2,1.0,0.0,2015,Spring,Blue
Hecarim,Sejuani,6,1,7,0.8571428571428571,0.14285714285714285,2015,Spring,Red
Sejuani,Fizz,1,0,1,1.0,0.0,2015,Spring,Red
Sejuani,Morgana,3,0,3,1.0,0.0,2015,Spring,Red
Sejuani,Zed,2,0,2,1.0,0.0,2015,Spring,Blue
Sejuani,Thresh,12,0,12,1.0,0.0,2015,Spring,Blue
Kennen,RekSai,2,3,5,0.4,0.6,2015,Spring,Red
Vladimir,Sejuani,1,0,1,1.0,0.0,2015,Spring,Blue
Sejuani,Lulu,1,0,1,1.0,0.0,2015,Spring,Blue
Nunu,Corki,2,0,2,1.0,0.0,2015,Spring,Red
Nunu,Nautilus,5,0,5,1.0,0.0,2015,Spring,Red
Hecarim,Nidalee,1,1,2,0.5,0.5,2015,Spring,Blue
Nidalee,Yasuo,1,0,1,1.0,0.0,2015,Spring,Blue
Nidalee,Thresh,6,0,6,1.0,0.0,2015,Spring,Blue
Lulu,Nunu,3,5,8,0.375,0.625,2015,Spring,Red
Twitch,Janna,2,0,2,1.0,0.0,2015,Spring,Red
Lissandra,Gragas,0,1,1,0.0,1.0,2015,Spring,Blue
Gragas,Yasuo,2,0,2,1.0,0.0,2015,Spring,Blue
Gragas,Alistar,1,0,1,1.0,0.0,2015,Spring,Blue
KogMaw,Alistar,2,0,2,1.0,0.0,2015,Spring,Blue
Vayne,Janna,5,0,5,1.0,0.0,2015,Spring,Red
Irelia,Nunu,0,2,2,0.0,1.0,2015,Spring,Blue
Nunu,Rumble,1,0,1,1.0,0.0,2015,Spring,Blue
Nunu,Morgana,3,0,3,1.0,0.0,2015,Spring,Blue
Kennen,Sejuani,1,0,1,1.0,0.0,2015,Spring,Red
Sejuani,Zed,3,0,3,1.0,0.0,2015,Spring,Red
Sejuani,Nautilus,6,0,6,1.0,0.0,2015,Spring,Red
Rumble,Sejuani,3,4,7,0.42857142857142855,0.5714285714285714,2015,Spring,Red
Sejuani,Corki,1,0,1,1.0,0.0,2015,Spring,Red
Sejuani,Lulu,1,0,1,1.0,0.0,2015,Spring,Red
Sivir,Lulu,2,0,2,1.0,0.0,2015,Spring,Red
Sion,Nidalee,2,1,3,0.6666666666666666,0.3333333333333333,2015,Spring,Blue
Nidalee,Nautilus,2,0,2,1.0,0.0,2015,Spring,Blue
Caitlyn,Nautilus,1,0,1,1.0,0.0,2015,Spring,Blue
Renekton,RekSai,1,1,2,0.5,0.5,2015,Spring,Red
RekSai,Vladimir,1,0,1,1.0,0.0,2015,Spring,Red
RekSai,Nautilus,3,0,3,1.0,0.0,2015,Spring,Blue
Twitch,Nautilus,1,0,1,1.0,0.0,2015,Spring,Blue
Lulu,Nidalee,3,0,3,1.0,0.0,2015,Spring,Red
Nidalee,Urgot,1,0,1,1.0,0.0,2015,Spring,Red
Sion,Zac,1,0,1,1.0,0.0,2015,Spring,Red
Zac,Katarina,1,0,1,1.0,0.0,2015,Spring,Red
Zac,Annie,3,0,3,1.0,0.0,2015,Spring,Red
Lucian,Annie,5,0,5,1.0,0.0,2015,Spring,Red
Sion,LeeSin,3,1,4,0.75,0.25,2015,Spring,Blue
LeeSin,Chogath,1,0,1,1.0,0.0,2015,Spring,Blue
LeeSin,Lulu,1,0,1,1.0,0.0,2015,Spring,Blue
Sivir,Lulu,5,0,5,1.0,0.0,2015,Spring,Blue
Lissandra,Gragas,0,1,1,0.0,1.0,2015,Spring,Red
Gragas,Urgot,2,0,2,1.0,0.0,2015,Spring,Red
Gragas,Janna,10,0,10,1.0,0.0,2015,Spring,Red
Varus,Janna,1,0,1,1.0,0.0,2015,Spring,Red
Vi,Nautilus,1,0,1,1.0,0.0,2015,Spring,Blue
Lucian,Nautilus,5,0,5,1.0,0.0,2015,Spring,Blue
RekSai,Chogath,1,0,1,1.0,0.0,2015,Spring,Red
