,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
71,BLUE,55,Graves,Ezreal,2016,Spring,Graves/Ezreal
72,BLUE,55,Elise,Kalista,2016,Spring,Elise/Kalista
73,BLUE,55,LeeSin,Ashe,2015,Summer,LeeSin/Ashe
75,BLUE,54,Gnar,Alistar,2015,Summer,Gnar/Alistar
76,BLUE,54,Varus,Braum,2015,Summer,Varus/Braum
77,BLUE,54,Kalista,Alistar,2016,Spring,Kalista/Alistar
81,BLUE,53,Maokai,Jhin,2017,Spring,Maokai/Jhin
82,BLUE,53,Azir,Braum,2015,Summer,Azir/Braum
83,BLUE,53,Gragas,Tristana,2015,Summer,Gragas/Tristana
84,BLUE,53,RekSai,Jhin,2016,Summer,RekSai/Jhin
87,BLUE,52,Maokai,Varus,2015,Summer,Maokai/Varus
88,BLUE,52,Graves,Braum,2016,Spring,Graves/Braum
89,BLUE,52,Syndra,Varus,2017,Spring,Syndra/Varus
90,BLUE,52,Xayah,Rakan,2017,Summer,Xayah/Rakan
92,BLUE,51,Shen,Gragas,2015,Summer,Shen/Gragas
93,BLUE,51,Gnar,Braum,2015,Summer,Gnar/Braum
94,BLUE,51,Azir,Gragas,2015,Summer,Azir/Gragas
95,BLUE,51,Jhin,Karma,2016,Summer,Jhin/Karma
96,BLUE,51,Ezreal,Karma,2016,Summer,Ezreal/Karma
101,BLUE,50,Shen,Braum,2015,Summer,Shen/Braum
102,BLUE,50,Azir,RekSai,2015,Summer,Azir/RekSai
103,BLUE,50,Viktor,Elise,2016,Summer,Viktor/Elise
104,BLUE,50,Azir,Alistar,2015,Summer,Azir/Alistar
105,BLUE,50,Khazix,Jhin,2017,Spring,Khazix/Jhin
109,BLUE,49,Maokai,Khazix,2015,Summer,Maokai/Khazix
110,BLUE,49,Poppy,Lucian,2016,Spring,Poppy/Lucian
111,BLUE,49,Syndra,Khazix,2017,Spring,Syndra/Khazix
112,BLUE,49,Orianna,Varus,2015,Summer,Orianna/Varus
113,BLUE,49,Elise,Caitlyn,2016,Spring,Elise/Caitlyn
114,BLUE,49,Elise,Jhin,2016,Summer,Elise/Jhin
115,BLUE,49,Gragas,Alistar,2015,Summer,Gragas/Alistar
116,BLUE,49,Ashe,Karma,2016,Summer,Ashe/Karma
117,BLUE,49,Lucian,Alistar,2016,Spring,Lucian/Alistar
122,BLUE,48,Shen,Ashe,2015,Summer,Shen/Ashe
123,BLUE,48,Elise,Ezreal,2016,Spring,Elise/Ezreal
124,BLUE,48,Nidalee,Alistar,2015,Summer,Nidalee/Alistar
125,BLUE,48,Ashe,Braum,2015,Summer,Ashe/Braum
130,BLUE,47,Poppy,Elise,2016,Spring,Poppy/Elise
131,BLUE,47,Gnar,Sivir,2015,Summer,Gnar/Sivir
132,BLUE,47,Gragas,Varus,2017,Summer,Gragas/Varus
133,BLUE,47,Maokai,Alistar,2015,Summer,Maokai/Alistar
134,BLUE,47,Maokai,Karma,2015,Summer,Maokai/Karma
135,BLUE,47,Elise,Sivir,2016,Summer,Elise/Sivir
136,BLUE,47,Nidalee,Lucian,2016,Spring,Nidalee/Lucian
137,BLUE,47,RekSai,Bard,2016,Spring,RekSai/Bard
138,BLUE,47,Ezreal,Braum,2016,Summer,Ezreal/Braum
139,BLUE,47,Varus,Karma,2017,Spring,Varus/Karma
146,BLUE,46,Rumble,Thresh,2015,Spring,Rumble/Thresh
147,BLUE,46,Jhin,TahmKench,2016,Summer,Jhin/TahmKench
149,BLUE,45,Nautilus,Graves,2016,Spring,Nautilus/Graves
150,BLUE,45,Rumble,Corki,2015,Spring,Rumble/Corki
151,BLUE,45,Taliyah,Elise,2016,Summer,Taliyah/Elise
152,BLUE,45,Orianna,Ashe,2015,Summer,Orianna/Ashe
153,BLUE,45,Orianna,Thresh,2015,Spring,Orianna/Thresh
154,BLUE,45,Viktor,Braum,2015,Summer,Viktor/Braum
155,BLUE,45,RekSai,Corki,2015,Spring,RekSai/Corki
156,BLUE,45,Gragas,Janna,2015,Summer,Gragas/Janna
161,BLUE,44,Maokai,Graves,2016,Summer,Maokai/Graves
162,BLUE,44,Maokai,Braum,2015,Summer,Maokai/Braum
163,BLUE,44,Orianna,Gragas,2015,Summer,Orianna/Gragas
164,BLUE,44,Viktor,Gragas,2015,Summer,Viktor/Gragas
165,BLUE,44,Syndra,Ashe,2016,Summer,Syndra/Ashe
166,BLUE,44,Syndra,Braum,2016,Spring,Syndra/Braum
167,BLUE,44,Gragas,Caitlyn,2016,Summer,Gragas/Caitlyn
168,BLUE,44,Gragas,Ezreal,2015,Summer,Gragas/Ezreal
169,BLUE,44,Ezreal,Alistar,2016,Spring,Ezreal/Alistar
170,BLUE,44,Varus,Thresh,2017,Summer,Varus/Thresh
179,BLUE,43,Maokai,LeeSin,2015,Summer,Maokai/LeeSin
180,BLUE,43,Shen,Elise,2015,Summer,Shen/Elise
181,BLUE,43,Shen,RekSai,2015,Summer,Shen/RekSai
182,BLUE,43,Maokai,Kalista,2015,Spring,Maokai/Kalista
183,BLUE,43,Viktor,Sivir,2015,Summer,Viktor/Sivir
191,BLUE,42,Shen,Karma,2016,Summer,Shen/Karma
192,BLUE,42,Maokai,Corki,2015,Spring,Maokai/Corki
193,BLUE,42,Maokai,Janna,2015,Spring,Maokai/Janna
194,BLUE,42,Viktor,Kalista,2015,Summer,Viktor/Kalista
195,BLUE,42,Elise,Tristana,2015,Summer,Elise/Tristana
196,BLUE,42,Sivir,Karma,2016,Summer,Sivir/Karma
205,BLUE,41,Trundle,Elise,2016,Summer,Trundle/Elise
206,BLUE,41,Trundle,Gragas,2016,Spring,Trundle/Gragas
207,BLUE,41,Maokai,Azir,2015,Summer,Maokai/Azir
208,BLUE,41,Gnar,Kalista,2015,Summer,Gnar/Kalista
209,BLUE,41,Maokai,Lucian,2015,Spring,Maokai/Lucian
210,BLUE,41,Rumble,Jhin,2016,Summer,Rumble/Jhin
211,BLUE,41,Taliyah,Thresh,2017,Summer,Taliyah/Thresh
212,BLUE,41,Gragas,Jhin,2016,Spring,Gragas/Jhin
213,BLUE,41,Gragas,Karma,2015,Summer,Gragas/Karma
214,BLUE,41,Graves,Karma,2016,Summer,Graves/Karma
215,BLUE,41,Corki,Alistar,2015,Summer,Corki/Alistar
223,BLUE,40,Rengar,Jhin,2017,Spring,Rengar/Jhin
224,BLUE,40,JarvanIV,Braum,2017,Summer,JarvanIV/Braum
225,BLUE,40,Cassiopeia,Gragas,2016,Summer,Cassiopeia/Gragas
226,BLUE,40,Syndra,Elise,2017,Spring,Syndra/Elise
227,BLUE,40,Azir,Lucian,2016,Spring,Azir/Lucian
228,BLUE,40,Syndra,Karma,2016,Summer,Syndra/Karma
229,BLUE,40,Jhin,Zyra,2016,Summer,Jhin/Zyra
230,BLUE,40,Lucian,Bard,2016,Spring,Lucian/Bard
238,BLUE,39,Rumble,Ashe,2016,Summer,Rumble/Ashe
239,BLUE,39,Leblanc,RekSai,2015,Spring,Leblanc/RekSai
240,BLUE,39,Syndra,Jhin,2016,Summer,Syndra/Jhin
241,BLUE,39,Viktor,Ashe,2015,Summer,Viktor/Ashe
242,BLUE,39,Corki,Janna,2015,Spring,Corki/Janna
243,BLUE,39,Gragas,Ashe,2016,Summer,Gragas/Ashe
244,BLUE,39,Graves,Jhin,2017,Spring,Graves/Jhin
245,BLUE,39,LeeSin,Varus,2017,Spring,LeeSin/Varus
246,BLUE,39,RekSai,Janna,2015,Spring,RekSai/Janna
247,BLUE,39,Ashe,Thresh,2016,Summer,Ashe/Thresh
248,BLUE,39,Sivir,Thresh,2015,Summer,Sivir/Thresh
249,BLUE,39,Tristana,Braum,2015,Summer,Tristana/Braum
256,BLUE,38,Maokai,Nidalee,2015,Spring,Maokai/Nidalee
257,BLUE,38,Rumble,LeeSin,2017,Spring,Rumble/LeeSin
258,BLUE,38,Ryze,RekSai,2016,Summer,Ryze/RekSai
259,BLUE,38,Maokai,Ryze,2016,Summer,Maokai/Ryze
260,BLUE,38,Rumble,Jayce,2015,Summer,Rumble/Jayce
261,BLUE,38,Graves,Lucian,2016,Spring,Graves/Lucian
262,BLUE,38,Ryze,Sivir,2016,Summer,Ryze/Sivir
263,BLUE,38,Shen,Sivir,2015,Summer,Shen/Sivir
264,BLUE,38,Poppy,Braum,2016,Spring,Poppy/Braum
265,BLUE,38,Orianna,Caitlyn,2017,Spring,Orianna/Caitlyn
266,BLUE,38,Khazix,Braum,2015,Summer,Khazix/Braum
267,BLUE,38,Khazix,Karma,2016,Summer,Khazix/Karma
268,BLUE,38,LeeSin,Braum,2016,Spring,LeeSin/Braum
269,BLUE,38,Jhin,Thresh,2017,Spring,Jhin/Thresh
270,BLUE,38,Tristana,Alistar,2015,Summer,Tristana/Alistar
271,BLUE,38,Tristana,Thresh,2017,Summer,Tristana/Thresh
283,BLUE,37,Lissandra,RekSai,2015,Spring,Lissandra/RekSai
284,BLUE,37,Maokai,Gragas,2015,Summer,Maokai/Gragas
285,BLUE,37,Nautilus,Khazix,2017,Spring,Nautilus/Khazix
286,BLUE,37,Maokai,Viktor,2015,Summer,Maokai/Viktor
287,BLUE,37,JarvanIV,Xayah,2017,Summer,JarvanIV/Xayah
288,BLUE,37,Shen,Caitlyn,2016,Summer,Shen/Caitlyn
289,BLUE,37,Corki,Elise,2016,Spring,Corki/Elise
290,BLUE,37,Orianna,LeeSin,2015,Summer,Orianna/LeeSin
291,BLUE,37,Taliyah,Ashe,2016,Summer,Taliyah/Ashe
292,BLUE,37,Elise,Karma,2016,Summer,Elise/Karma
293,BLUE,37,Caitlyn,Karma,2016,Summer,Caitlyn/Karma
294,BLUE,37,Jhin,Braum,2016,Summer,Jhin/Braum
302,BLUE,36,Renekton,Elise,2017,Summer,Renekton/Elise
303,BLUE,36,Gnar,Thresh,2015,Summer,Gnar/Thresh
304,BLUE,36,Trundle,Braum,2016,Summer,Trundle/Braum
305,BLUE,36,Orianna,Khazix,2017,Spring,Orianna/Khazix
306,BLUE,36,Orianna,Rengar,2015,Summer,Orianna/Rengar
307,BLUE,36,Corki,Braum,2017,Summer,Corki/Braum
308,BLUE,36,Orianna,Braum,2015,Summer,Orianna/Braum
309,BLUE,36,Taliyah,Braum,2016,Summer,Taliyah/Braum
310,BLUE,36,Varus,Zyra,2017,Spring,Varus/Zyra
311,BLUE,36,Viktor,Alistar,2015,Summer,Viktor/Alistar
312,BLUE,36,Viktor,Thresh,2015,Summer,Viktor/Thresh
313,BLUE,36,Elise,Bard,2016,Summer,Elise/Bard
314,BLUE,36,Rengar,Karma,2015,Summer,Rengar/Karma
320,BLUE,35,Nautilus,Ashe,2017,Spring,Nautilus/Ashe
321,BLUE,35,Shen,Jhin,2016,Summer,Shen/Jhin
322,BLUE,35,Rumble,Alistar,2015,Summer,Rumble/Alistar
323,BLUE,35,Azir,Elise,2015,Summer,Azir/Elise
324,BLUE,35,Syndra,LeeSin,2017,Spring,Syndra/LeeSin
325,BLUE,35,Taliyah,Caitlyn,2017,Summer,Taliyah/Caitlyn
326,BLUE,35,Viktor,Ezreal,2016,Summer,Viktor/Ezreal
327,BLUE,35,Viktor,Lucian,2016,Spring,Viktor/Lucian
328,BLUE,35,Graves,Varus,2017,Spring,Graves/Varus
329,BLUE,35,RekSai,Ezreal,2016,Spring,RekSai/Ezreal
330,BLUE,35,Varus,Malzahar,2017,Spring,Varus/Malzahar
339,BLUE,34,Gnar,Elise,2016,Summer,Gnar/Elise
340,BLUE,34,Rumble,Rengar,2016,Summer,Rumble/Rengar
341,BLUE,34,Gnar,Azir,2015,Spring,Gnar/Azir
342,BLUE,34,Lulu,Lucian,2016,Spring,Lulu/Lucian
343,BLUE,34,Maokai,Ezreal,2017,Spring,Maokai/Ezreal
344,BLUE,34,Trundle,Ezreal,2016,Summer,Trundle/Ezreal
345,BLUE,34,Gragas,Rakan,2017,Summer,Gragas/Rakan
346,BLUE,34,JarvanIV,Janna,2015,Spring,JarvanIV/Janna
347,BLUE,34,Shen,Thresh,2015,Summer,Shen/Thresh
348,BLUE,34,Cassiopeia,RekSai,2016,Summer,Cassiopeia/RekSai
349,BLUE,34,Syndra,Gragas,2016,Spring,Syndra/Gragas
350,BLUE,34,Syndra,Graves,2016,Spring,Syndra/Graves
351,BLUE,34,Orianna,Kalista,2015,Summer,Orianna/Kalista
352,BLUE,34,Ryze,Ezreal,2016,Summer,Ryze/Ezreal
353,BLUE,34,Leblanc,Thresh,2015,Spring,Leblanc/Thresh
354,BLUE,34,RekSai,Caitlyn,2016,Spring,RekSai/Caitlyn
355,BLUE,34,Khazix,Zyra,2017,Spring,Khazix/Zyra
356,BLUE,34,RekSai,Karma,2016,Summer,RekSai/Karma
357,BLUE,34,Lucian,Thresh,2015,Summer,Lucian/Thresh
358,BLUE,34,Sivir,Janna,2015,Spring,Sivir/Janna
359,BLUE,34,Varus,Lulu,2017,Spring,Varus/Lulu
373,BLUE,33,Fiora,Elise,2016,Spring,Fiora/Elise
374,BLUE,33,Lulu,RekSai,2015,Spring,Lulu/RekSai
375,BLUE,33,Maokai,Elise,2017,Spring,Maokai/Elise
376,BLUE,33,Ryze,Graves,2016,Summer,Ryze/Graves
377,BLUE,33,Rumble,Sivir,2015,Spring,Rumble/Sivir
378,BLUE,33,Shen,Varus,2017,Spring,Shen/Varus
379,BLUE,33,Gragas,Trundle,2016,Spring,Gragas/Trundle
380,BLUE,33,Graves,Thresh,2016,Spring,Graves/Thresh
381,BLUE,33,Rumble,Braum,2015,Spring,Rumble/Braum
382,BLUE,33,Vladimir,Braum,2016,Summer,Vladimir/Braum
383,BLUE,33,Vladimir,RekSai,2015,Summer,Vladimir/RekSai
384,BLUE,33,Azir,Ezreal,2015,Summer,Azir/Ezreal
385,BLUE,33,Cassiopeia,Varus,2017,Spring,Cassiopeia/Varus
386,BLUE,33,Corki,Kalista,2016,Spring,Corki/Kalista
387,BLUE,33,Syndra,Thresh,2016,Summer,Syndra/Thresh
388,BLUE,33,LeeSin,Caitlyn,2017,Summer,LeeSin/Caitlyn
389,BLUE,33,Khazix,Malzahar,2017,Spring,Khazix/Malzahar
390,BLUE,33,Jhin,Malzahar,2017,Spring,Jhin/Malzahar
407,BLUE,32,Maokai,JarvanIV,2015,Spring,Maokai/JarvanIV
408,BLUE,32,Maokai,Orianna,2015,Summer,Maokai/Orianna
409,BLUE,32,Lissandra,Sivir,2015,Spring,Lissandra/Sivir
410,BLUE,32,Nautilus,Lucian,2016,Spring,Nautilus/Lucian
411,BLUE,32,Rumble,Varus,2017,Spring,Rumble/Varus
412,BLUE,32,Orianna,Elise,2017,Spring,Orianna/Elise
413,BLUE,32,Corki,Jhin,2017,Spring,Corki/Jhin
414,BLUE,32,Syndra,Caitlyn,2017,Spring,Syndra/Caitlyn
415,BLUE,32,Vladimir,Sivir,2015,Spring,Vladimir/Sivir
416,BLUE,32,Ryze,Karma,2016,Summer,Ryze/Karma
417,BLUE,32,Graves,Ashe,2016,Summer,Graves/Ashe
418,BLUE,32,Nidalee,Ezreal,2016,Spring,Nidalee/Ezreal
419,BLUE,32,Rengar,Varus,2017,Spring,Rengar/Varus
420,BLUE,32,Gragas,Morgana,2015,Summer,Gragas/Morgana
421,BLUE,32,RekSai,Morgana,2015,Spring,RekSai/Morgana
435,BLUE,31,Lulu,Elise,2016,Spring,Lulu/Elise
436,BLUE,31,Gragas,Xayah,2017,Summer,Gragas/Xayah
437,BLUE,31,Nautilus,Ezreal,2016,Spring,Nautilus/Ezreal
438,BLUE,31,Nidalee,Sivir,2015,Spring,Nidalee/Sivir
439,BLUE,31,Renekton,Varus,2017,Summer,Renekton/Varus
440,BLUE,31,JarvanIV,Thresh,2017,Summer,JarvanIV/Thresh
441,BLUE,31,Corki,Varus,2017,Spring,Corki/Varus
442,BLUE,31,Leblanc,Kalista,2015,Spring,Leblanc/Kalista
443,BLUE,31,LeeSin,Kalista,2017,Summer,LeeSin/Kalista
444,BLUE,31,Gragas,TahmKench,2016,Summer,Gragas/TahmKench
445,BLUE,31,Ashe,TahmKench,2016,Summer,Ashe/TahmKench
466,BLUE,30,Ekko,RekSai,2015,Summer,Ekko/RekSai
467,BLUE,30,Gnar,Nidalee,2015,Summer,Gnar/Nidalee
468,BLUE,30,Maokai,Rengar,2015,Summer,Maokai/Rengar
469,BLUE,30,Shen,Graves,2016,Summer,Shen/Graves
470,BLUE,30,Shen,Khazix,2017,Spring,Shen/Khazix
471,BLUE,30,Maokai,Ahri,2015,Spring,Maokai/Ahri
472,BLUE,30,Maokai,Cassiopeia,2017,Spring,Maokai/Cassiopeia
473,BLUE,30,Shen,Leblanc,2017,Spring,Shen/Leblanc
474,BLUE,30,Gnar,Tristana,2015,Spring,Gnar/Tristana
475,BLUE,30,Gragas,KogMaw,2017,Summer,Gragas/KogMaw
476,BLUE,30,Jayce,Jhin,2017,Spring,Jayce/Jhin
477,BLUE,30,Maokai,Ashe,2015,Summer,Maokai/Ashe
478,BLUE,30,Poppy,Kalista,2016,Spring,Poppy/Kalista
479,BLUE,30,Gragas,Lulu,2017,Spring,Gragas/Lulu
480,BLUE,30,Lulu,Thresh,2015,Spring,Lulu/Thresh
481,BLUE,30,Poppy,Alistar,2016,Spring,Poppy/Alistar
482,BLUE,30,Renekton,Braum,2017,Summer,Renekton/Braum
483,BLUE,30,Corki,Gragas,2016,Spring,Corki/Gragas
484,BLUE,30,Leblanc,Elise,2017,Spring,Leblanc/Elise
485,BLUE,30,Ahri,Thresh,2015,Spring,Ahri/Thresh
486,BLUE,30,JarvanIV,Thresh,2015,Spring,JarvanIV/Thresh
487,BLUE,30,Khazix,Lulu,2017,Spring,Khazix/Lulu
488,BLUE,30,Khazix,Thresh,2017,Spring,Khazix/Thresh
489,BLUE,30,LeeSin,Zyra,2017,Summer,LeeSin/Zyra
490,BLUE,30,Caitlyn,Thresh,2017,Summer,Caitlyn/Thresh
491,BLUE,30,Kalista,Morgana,2015,Summer,Kalista/Morgana
492,BLUE,30,Lucian,Janna,2015,Spring,Lucian/Janna
510,BLUE,29,Poppy,Gragas,2017,Spring,Poppy/Gragas
511,BLUE,29,Poppy,Graves,2016,Spring,Poppy/Graves
512,BLUE,29,Gnar,Karma,2016,Summer,Gnar/Karma
513,BLUE,29,JarvanIV,Taliyah,2017,Summer,JarvanIV/Taliyah
514,BLUE,29,Nautilus,Syndra,2017,Spring,Nautilus/Syndra
515,BLUE,29,Shen,Orianna,2015,Summer,Shen/Orianna
516,BLUE,29,Gnar,Ashe,2015,Summer,Gnar/Ashe
517,BLUE,29,Irelia,Sivir,2015,Spring,Irelia/Sivir
518,BLUE,29,Poppy,Ezreal,2016,Spring,Poppy/Ezreal
519,BLUE,29,Rumble,Kalista,2015,Summer,Rumble/Kalista
520,BLUE,29,Shen,Lucian,2016,Summer,Shen/Lucian
521,BLUE,29,Cassiopeia,Thresh,2015,Summer,Cassiopeia/Thresh
522,BLUE,29,Gragas,Bard,2016,Summer,Gragas/Bard
523,BLUE,29,Nautilus,Lulu,2017,Spring,Nautilus/Lulu
524,BLUE,29,Rumble,Karma,2017,Spring,Rumble/Karma
525,BLUE,29,Ahri,Graves,2017,Spring,Ahri/Graves
526,BLUE,29,Leblanc,Sivir,2015,Summer,Leblanc/Sivir
527,BLUE,29,Orianna,Tristana,2017,Summer,Orianna/Tristana
528,BLUE,29,Ryze,Ashe,2017,Spring,Ryze/Ashe
529,BLUE,29,Azir,Thresh,2015,Summer,Azir/Thresh
530,BLUE,29,Orianna,Lulu,2017,Spring,Orianna/Lulu
531,BLUE,29,JarvanIV,Kalista,2015,Spring,JarvanIV/Kalista
532,BLUE,29,LeeSin,Sivir,2015,Spring,LeeSin/Sivir
533,BLUE,29,Rengar,Ashe,2017,Spring,Rengar/Ashe
534,BLUE,29,Elise,TahmKench,2017,Summer,Elise/TahmKench
535,BLUE,29,Ashe,Alistar,2015,Summer,Ashe/Alistar
536,BLUE,29,Ezreal,Bard,2016,Spring,Ezreal/Bard
537,BLUE,29,Ezreal,Lulu,2017,Spring,Ezreal/Lulu
538,BLUE,29,Lucian,Trundle,2016,Spring,Lucian/Trundle
557,BLUE,28,Gnar,JarvanIV,2015,Spring,Gnar/JarvanIV
558,BLUE,28,Gnar,Syndra,2016,Summer,Gnar/Syndra
559,BLUE,28,Nautilus,Jhin,2017,Spring,Nautilus/Jhin
560,BLUE,28,Gnar,Ezreal,2016,Summer,Gnar/Ezreal
561,BLUE,28,Gnar,Lucian,2016,Spring,Gnar/Lucian
562,BLUE,28,Graves,Kalista,2016,Spring,Graves/Kalista
563,BLUE,28,Nautilus,Varus,2017,Spring,Nautilus/Varus
564,BLUE,28,Graves,Alistar,2016,Spring,Graves/Alistar
565,BLUE,28,Maokai,Zyra,2016,Summer,Maokai/Zyra
566,BLUE,28,Renekton,Thresh,2017,Summer,Renekton/Thresh
567,BLUE,28,Sejuani,Braum,2017,Summer,Sejuani/Braum
568,BLUE,28,Shen,Zyra,2017,Spring,Shen/Zyra
569,BLUE,28,Leblanc,Gragas,2016,Spring,Leblanc/Gragas
570,BLUE,28,Ryze,Khazix,2017,Spring,Ryze/Khazix
571,BLUE,28,Vladimir,Gragas,2016,Summer,Vladimir/Gragas
572,BLUE,28,Orianna,Lucian,2016,Spring,Orianna/Lucian
573,BLUE,28,Ryze,Varus,2017,Spring,Ryze/Varus
574,BLUE,28,Viktor,Jhin,2016,Summer,Viktor/Jhin
575,BLUE,28,Vladimir,Ashe,2016,Summer,Vladimir/Ashe
576,BLUE,28,Ahri,Lulu,2017,Spring,Ahri/Lulu
577,BLUE,28,Viktor,Bard,2016,Spring,Viktor/Bard
578,BLUE,28,LeeSin,Karma,2017,Spring,LeeSin/Karma
579,BLUE,28,Sivir,Nautilus,2015,Summer,Sivir/Nautilus
601,BLUE,27,Galio,Gragas,2017,Summer,Galio/Gragas
602,BLUE,27,Gangplank,RekSai,2016,Spring,Gangplank/RekSai
603,BLUE,27,Rumble,Khazix,2017,Spring,Rumble/Khazix
604,BLUE,27,Shen,Rengar,2017,Spring,Shen/Rengar
605,BLUE,27,Gnar,Cassiopeia,2016,Summer,Gnar/Cassiopeia
606,BLUE,27,Maokai,Syndra,2017,Spring,Maokai/Syndra
607,BLUE,27,Shen,Viktor,2016,Summer,Shen/Viktor
608,BLUE,27,Nautilus,Karma,2016,Spring,Nautilus/Karma
609,BLUE,27,Rumble,Janna,2015,Spring,Rumble/Janna
610,BLUE,27,Azir,Karma,2016,Summer,Azir/Karma
611,BLUE,27,Orianna,Alistar,2015,Summer,Orianna/Alistar
612,BLUE,27,Ryze,Braum,2016,Summer,Ryze/Braum
613,BLUE,27,Rengar,Ezreal,2017,Spring,Rengar/Ezreal
614,BLUE,27,Rengar,Lulu,2017,Spring,Rengar/Lulu
615,BLUE,27,Ashe,Lulu,2017,Spring,Ashe/Lulu
616,BLUE,27,Caitlyn,Lulu,2017,Spring,Caitlyn/Lulu
634,BLUE,26,Irelia,RekSai,2015,Spring,Irelia/RekSai
635,BLUE,26,Rumble,Gragas,2015,Summer,Rumble/Gragas
636,BLUE,26,Rumble,Graves,2017,Spring,Rumble/Graves
637,BLUE,26,Taliyah,RekSai,2016,Summer,Taliyah/RekSai
638,BLUE,26,JarvanIV,Orianna,2017,Spring,JarvanIV/Orianna
639,BLUE,26,JarvanIV,Syndra,2017,Spring,JarvanIV/Syndra
640,BLUE,26,Maokai,Corki,2017,Spring,Maokai/Corki
641,BLUE,26,Rumble,Orianna,2017,Spring,Rumble/Orianna
642,BLUE,26,Gragas,Corki,2015,Spring,Gragas/Corki
643,BLUE,26,JarvanIV,Ashe,2017,Summer,JarvanIV/Ashe
644,BLUE,26,Renekton,Caitlyn,2015,Spring,Renekton/Caitlyn
645,BLUE,26,Shen,Tristana,2015,Summer,Shen/Tristana
646,BLUE,26,Gangplank,Braum,2016,Spring,Gangplank/Braum
647,BLUE,26,Gnar,TahmKench,2016,Summer,Gnar/TahmKench
648,BLUE,26,Leblanc,LeeSin,2015,Spring,Leblanc/LeeSin
649,BLUE,26,Taliyah,LeeSin,2017,Spring,Taliyah/LeeSin
650,BLUE,26,Corki,Caitlyn,2016,Spring,Corki/Caitlyn
651,BLUE,26,Syndra,Ezreal,2016,Spring,Syndra/Ezreal
652,BLUE,26,Taliyah,Tristana,2017,Summer,Taliyah/Tristana
653,BLUE,26,Zed,Corki,2015,Spring,Zed/Corki
654,BLUE,26,Orianna,Karma,2015,Summer,Orianna/Karma
655,BLUE,26,Graves,Caitlyn,2016,Spring,Graves/Caitlyn
656,BLUE,26,JarvanIV,Sivir,2015,Spring,JarvanIV/Sivir
657,BLUE,26,KogMaw,Janna,2015,Summer,KogMaw/Janna
658,BLUE,26,Sivir,Annie,2015,Spring,Sivir/Annie
681,BLUE,25,Camille,Elise,2017,Spring,Camille/Elise
682,BLUE,25,JarvanIV,Elise,2017,Spring,JarvanIV/Elise
683,BLUE,25,Trundle,RekSai,2016,Summer,Trundle/RekSai
684,BLUE,25,Poppy,Azir,2016,Summer,Poppy/Azir
685,BLUE,25,Shen,Azir,2015,Summer,Shen/Azir
