,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
221,RED,40,Viktor,Sivir,2016,Summer,Viktor/Sivir
222,RED,40,Jhin,Braum,2016,Summer,Jhin/Braum
231,RED,39,Maokai,Gragas,2015,Summer,Maokai/Gragas
232,RED,39,Shen,Jhin,2016,Summer,Shen/Jhin
233,RED,39,Viktor,Elise,2016,Summer,Viktor/Elise
234,RED,39,Cassiopeia,Thresh,2016,Summer,Cassiopeia/Thresh
235,RED,39,Elise,Caitlyn,2016,Spring,Elise/Caitlyn
236,RED,39,Khazix,Varus,2017,Spring,Khazix/Varus
237,RED,39,Graves,Karma,2017,Spring,Graves/Karma
250,RED,38,JarvanIV,Tristana,2017,Summer,JarvanIV/Tristana
251,RED,38,Maokai,Karma,2015,Summer,Maokai/Karma
252,RED,38,Rumble,Thresh,2015,Summer,Rumble/Thresh
253,RED,38,Azir,Braum,2015,Summer,Azir/Braum
254,RED,38,Elise,Kalista,2016,Spring,Elise/Kalista
255,RED,38,Kalista,Braum,2016,Spring,Kalista/Braum
272,RED,37,Maokai,Lucian,2015,Spring,Maokai/Lucian
273,RED,37,Rumble,Sivir,2015,Spring,Rumble/Sivir
274,RED,37,Azir,Sivir,2015,Summer,Azir/Sivir
275,RED,37,Corki,Varus,2017,Spring,Corki/Varus
276,RED,37,Syndra,Ashe,2016,Summer,Syndra/Ashe
277,RED,37,Syndra,Varus,2017,Spring,Syndra/Varus
278,RED,37,Viktor,Lucian,2016,Spring,Viktor/Lucian
279,RED,37,Cassiopeia,Braum,2016,Summer,Cassiopeia/Braum
280,RED,37,Elise,Varus,2017,Spring,Elise/Varus
281,RED,37,RekSai,Corki,2015,Spring,RekSai/Corki
282,RED,37,LeeSin,Braum,2016,Spring,LeeSin/Braum
295,RED,36,Maokai,Graves,2016,Spring,Maokai/Graves
296,RED,36,Shen,Gragas,2016,Summer,Shen/Gragas
297,RED,36,Gnar,Ashe,2015,Summer,Gnar/Ashe
298,RED,36,Gragas,Corki,2015,Summer,Gragas/Corki
299,RED,36,JarvanIV,Braum,2017,Summer,JarvanIV/Braum
300,RED,36,Azir,Elise,2015,Summer,Azir/Elise
301,RED,36,RekSai,Ezreal,2016,Summer,RekSai/Ezreal
315,RED,35,Gangplank,Gragas,2016,Spring,Gangplank/Gragas
316,RED,35,Nautilus,Ezreal,2017,Spring,Nautilus/Ezreal
317,RED,35,Cassiopeia,Jhin,2016,Summer,Cassiopeia/Jhin
318,RED,35,Gragas,Karma,2016,Spring,Gragas/Karma
319,RED,35,Varus,Thresh,2017,Spring,Varus/Thresh
331,RED,34,Gragas,Xayah,2017,Summer,Gragas/Xayah
332,RED,34,Maokai,Janna,2015,Spring,Maokai/Janna
333,RED,34,Leblanc,RekSai,2015,Summer,Leblanc/RekSai
334,RED,34,Ryze,Karma,2016,Summer,Ryze/Karma
335,RED,34,Viktor,Alistar,2015,Summer,Viktor/Alistar
336,RED,34,Graves,Jhin,2016,Summer,Graves/Jhin
337,RED,34,LeeSin,Jhin,2017,Spring,LeeSin/Jhin
338,RED,34,LeeSin,Karma,2017,Spring,LeeSin/Karma
360,RED,33,Nautilus,LeeSin,2016,Spring,Nautilus/LeeSin
361,RED,33,Rumble,LeeSin,2015,Spring,Rumble/LeeSin
362,RED,33,Maokai,Viktor,2016,Summer,Maokai/Viktor
363,RED,33,Maokai,Kalista,2015,Spring,Maokai/Kalista
364,RED,33,Shen,Varus,2017,Spring,Shen/Varus
365,RED,33,Nautilus,Karma,2017,Spring,Nautilus/Karma
366,RED,33,Taliyah,Gragas,2016,Summer,Taliyah/Gragas
367,RED,33,Leblanc,Sivir,2015,Spring,Leblanc/Sivir
368,RED,33,Orianna,Ashe,2017,Spring,Orianna/Ashe
369,RED,33,Ryze,Jhin,2017,Spring,Ryze/Jhin
370,RED,33,Syndra,Jhin,2016,Summer,Syndra/Jhin
371,RED,33,Khazix,Thresh,2017,Spring,Khazix/Thresh
372,RED,33,LeeSin,Zyra,2017,Spring,LeeSin/Zyra
391,RED,32,Gnar,Cassiopeia,2015,Summer,Gnar/Cassiopeia
392,RED,32,Maokai,Azir,2015,Summer,Maokai/Azir
393,RED,32,Maokai,Orianna,2015,Summer,Maokai/Orianna
394,RED,32,Shen,Cassiopeia,2016,Summer,Shen/Cassiopeia
395,RED,32,Maokai,Ezreal,2017,Spring,Maokai/Ezreal
396,RED,32,Cassiopeia,Elise,2016,Spring,Cassiopeia/Elise
397,RED,32,Syndra,Khazix,2017,Spring,Syndra/Khazix
398,RED,32,Viktor,Ashe,2015,Summer,Viktor/Ashe
399,RED,32,Leblanc,Alistar,2015,Summer,Leblanc/Alistar
400,RED,32,Graves,Ezreal,2017,Spring,Graves/Ezreal
401,RED,32,JarvanIV,Thresh,2015,Spring,JarvanIV/Thresh
402,RED,32,Nidalee,Alistar,2016,Spring,Nidalee/Alistar
403,RED,32,Nidalee,Braum,2015,Summer,Nidalee/Braum
404,RED,32,Caitlyn,Braum,2016,Summer,Caitlyn/Braum
405,RED,32,Caitlyn,Karma,2016,Spring,Caitlyn/Karma
406,RED,32,Varus,Zyra,2017,Summer,Varus/Zyra
422,RED,31,Fiora,Elise,2016,Spring,Fiora/Elise
423,RED,31,Shen,Sivir,2015,Summer,Shen/Sivir
424,RED,31,Trundle,Braum,2016,Summer,Trundle/Braum
425,RED,31,Azir,Gragas,2015,Summer,Azir/Gragas
426,RED,31,Syndra,Elise,2016,Spring,Syndra/Elise
427,RED,31,Cassiopeia,Sivir,2016,Summer,Cassiopeia/Sivir
428,RED,31,Corki,Jhin,2016,Spring,Corki/Jhin
429,RED,31,Ahri,Thresh,2015,Summer,Ahri/Thresh
430,RED,31,Gragas,Ezreal,2016,Spring,Gragas/Ezreal
431,RED,31,Gragas,Bard,2015,Summer,Gragas/Bard
432,RED,31,Khazix,Karma,2017,Spring,Khazix/Karma
433,RED,31,Corki,Alistar,2015,Summer,Corki/Alistar
434,RED,31,Varus,Braum,2017,Summer,Varus/Braum
446,RED,30,Rumble,Gragas,2015,Summer,Rumble/Gragas
447,RED,30,Shen,Khazix,2017,Spring,Shen/Khazix
448,RED,30,Trundle,Karma,2016,Summer,Trundle/Karma
449,RED,30,Maokai,Ashe,2015,Summer,Maokai/Ashe
450,RED,30,Gangplank,Alistar,2016,Spring,Gangplank/Alistar
451,RED,30,Rumble,Alistar,2015,Spring,Rumble/Alistar
452,RED,30,Corki,RekSai,2017,Spring,Corki/RekSai
453,RED,30,Leblanc,Gragas,2015,Summer,Leblanc/Gragas
454,RED,30,Leblanc,LeeSin,2017,Spring,Leblanc/LeeSin
455,RED,30,Orianna,Khazix,2017,Spring,Orianna/Khazix
456,RED,30,Azir,Ezreal,2016,Summer,Azir/Ezreal
457,RED,30,Orianna,Caitlyn,2017,Spring,Orianna/Caitlyn
458,RED,30,Orianna,Tristana,2015,Summer,Orianna/Tristana
459,RED,30,Viktor,Ezreal,2016,Summer,Viktor/Ezreal
460,RED,30,Orianna,Karma,2015,Summer,Orianna/Karma
461,RED,30,Viktor,Karma,2016,Summer,Viktor/Karma
462,RED,30,LeeSin,Caitlyn,2016,Summer,LeeSin/Caitlyn
463,RED,30,Jhin,Malzahar,2017,Spring,Jhin/Malzahar
464,RED,30,Sivir,Bard,2015,Summer,Sivir/Bard
465,RED,30,Tristana,Alistar,2015,Summer,Tristana/Alistar
493,RED,29,JarvanIV,Gragas,2016,Summer,JarvanIV/Gragas
494,RED,29,Ekko,Sivir,2016,Summer,Ekko/Sivir
495,RED,29,Graves,Sivir,2016,Spring,Graves/Sivir
496,RED,29,Poppy,Lucian,2016,Spring,Poppy/Lucian
497,RED,29,Shen,Braum,2016,Summer,Shen/Braum
498,RED,29,Syndra,Gragas,2016,Summer,Syndra/Gragas
499,RED,29,Viktor,LeeSin,2016,Spring,Viktor/LeeSin
500,RED,29,Corki,Kalista,2015,Spring,Corki/Kalista
501,RED,29,TwistedFate,Sivir,2015,Summer,TwistedFate/Sivir
502,RED,29,Syndra,Thresh,2017,Summer,Syndra/Thresh
503,RED,29,RekSai,Caitlyn,2016,Summer,RekSai/Caitlyn
504,RED,29,Gragas,TahmKench,2016,Summer,Gragas/TahmKench
505,RED,29,Graves,Braum,2016,Summer,Graves/Braum
506,RED,29,Khazix,Zyra,2017,Spring,Khazix/Zyra
507,RED,29,RekSai,Zyra,2016,Summer,RekSai/Zyra
508,RED,29,Lucian,Janna,2015,Spring,Lucian/Janna
509,RED,29,Tristana,Thresh,2015,Summer,Tristana/Thresh
539,RED,28,Irelia,RekSai,2016,Summer,Irelia/RekSai
540,RED,28,Maokai,Nidalee,2015,Spring,Maokai/Nidalee
541,RED,28,Nautilus,Graves,2017,Spring,Nautilus/Graves
542,RED,28,Shen,LeeSin,2015,Summer,Shen/LeeSin
543,RED,28,Irelia,Sivir,2015,Spring,Irelia/Sivir
544,RED,28,JarvanIV,Xayah,2017,Summer,JarvanIV/Xayah
545,RED,28,Maokai,Varus,2017,Spring,Maokai/Varus
546,RED,28,Gragas,Lulu,2017,Spring,Gragas/Lulu
547,RED,28,Leblanc,Lucian,2015,Spring,Leblanc/Lucian
548,RED,28,Leblanc,Braum,2016,Summer,Leblanc/Braum
549,RED,28,Graves,Ashe,2017,Spring,Graves/Ashe
550,RED,28,LeeSin,Lucian,2016,Spring,LeeSin/Lucian
551,RED,28,RekSai,Varus,2017,Spring,RekSai/Varus
552,RED,28,Khazix,Malzahar,2017,Spring,Khazix/Malzahar
553,RED,28,Jhin,Zyra,2017,Spring,Jhin/Zyra
554,RED,28,Lucian,Karma,2016,Summer,Lucian/Karma
555,RED,28,Sivir,Nautilus,2015,Spring,Sivir/Nautilus
556,RED,28,Varus,Karma,2017,Spring,Varus/Karma
580,RED,27,Maokai,Elise,2015,Summer,Maokai/Elise
581,RED,27,Maokai,JarvanIV,2017,Summer,Maokai/JarvanIV
582,RED,27,Renekton,Gragas,2017,Summer,Renekton/Gragas
583,RED,27,Shen,Elise,2015,Summer,Shen/Elise
584,RED,27,Gnar,Azir,2015,Summer,Gnar/Azir
585,RED,27,Maokai,Cassiopeia,2017,Spring,Maokai/Cassiopeia
586,RED,27,Ekko,Braum,2016,Summer,Ekko/Braum
587,RED,27,Nautilus,Lulu,2017,Spring,Nautilus/Lulu
588,RED,27,Shen,Thresh,2017,Summer,Shen/Thresh
589,RED,27,Shen,Zyra,2017,Spring,Shen/Zyra
590,RED,27,Leblanc,Elise,2016,Spring,Leblanc/Elise
591,RED,27,Cassiopeia,Varus,2017,Spring,Cassiopeia/Varus
592,RED,27,Nidalee,Kalista,2015,Spring,Nidalee/Kalista
593,RED,27,Cassiopeia,Karma,2016,Summer,Cassiopeia/Karma
594,RED,27,Leblanc,Thresh,2015,Spring,Leblanc/Thresh
595,RED,27,Gragas,Caitlyn,2016,Spring,Gragas/Caitlyn
596,RED,27,Gragas,KogMaw,2016,Summer,Gragas/KogMaw
597,RED,27,Graves,Lucian,2016,Summer,Graves/Lucian
598,RED,27,RekSai,Janna,2015,Spring,RekSai/Janna
599,RED,27,Sivir,Annie,2015,Spring,Sivir/Annie
600,RED,27,Sivir,Janna,2015,Spring,Sivir/Janna
617,RED,26,Nautilus,Elise,2016,Spring,Nautilus/Elise
618,RED,26,JarvanIV,Orianna,2017,Summer,JarvanIV/Orianna
619,RED,26,Nautilus,Varus,2017,Spring,Nautilus/Varus
620,RED,26,Graves,Alistar,2016,Spring,Graves/Alistar
621,RED,26,Ryze,RekSai,2016,Spring,Ryze/RekSai
622,RED,26,Syndra,LeeSin,2017,Spring,Syndra/LeeSin
623,RED,26,Taliyah,Elise,2016,Summer,Taliyah/Elise
624,RED,26,Taliyah,RekSai,2017,Summer,Taliyah/RekSai
625,RED,26,Azir,Lucian,2016,Summer,Azir/Lucian
626,RED,26,Syndra,Lulu,2017,Spring,Syndra/Lulu
627,RED,26,Varus,TahmKench,2017,Spring,Varus/TahmKench
628,RED,26,Viktor,Thresh,2015,Spring,Viktor/Thresh
629,RED,26,Elise,Tristana,2015,Summer,Elise/Tristana
630,RED,26,Elise,Bard,2016,Summer,Elise/Bard
631,RED,26,JarvanIV,Janna,2015,Spring,JarvanIV/Janna
632,RED,26,LeeSin,Lulu,2017,Spring,LeeSin/Lulu
633,RED,26,Sejuani,Braum,2015,Spring,Sejuani/Braum
659,RED,25,Jayce,Elise,2017,Spring,Jayce/Elise
660,RED,25,Lulu,RekSai,2015,Spring,Lulu/RekSai
661,RED,25,Gnar,Viktor,2015,Summer,Gnar/Viktor
662,RED,25,Irelia,Karma,2016,Summer,Irelia/Karma
663,RED,25,Maokai,Ahri,2015,Spring,Maokai/Ahri
664,RED,25,Shen,Corki,2017,Spring,Shen/Corki
665,RED,25,Gnar,Jhin,2016,Summer,Gnar/Jhin
666,RED,25,Fiora,Alistar,2016,Spring,Fiora/Alistar
667,RED,25,Shen,Alistar,2015,Summer,Shen/Alistar
668,RED,25,Orianna,RekSai,2015,Spring,Orianna/RekSai
669,RED,25,Ryze,Khazix,2017,Spring,Ryze/Khazix
670,RED,25,Ahri,Lucian,2015,Spring,Ahri/Lucian
671,RED,25,Cassiopeia,Kalista,2015,Spring,Cassiopeia/Kalista
672,RED,25,Cassiopeia,Alistar,2016,Spring,Cassiopeia/Alistar
673,RED,25,Varus,Alistar,2015,Summer,Varus/Alistar
674,RED,25,Nidalee,Lucian,2016,Summer,Nidalee/Lucian
675,RED,25,Elise,Nami,2017,Spring,Elise/Nami
676,RED,25,Gragas,Morgana,2015,Summer,Gragas/Morgana
677,RED,25,Ashe,TahmKench,2016,Summer,Ashe/TahmKench
678,RED,25,Caitlyn,Lulu,2017,Spring,Caitlyn/Lulu
679,RED,25,Lucian,Trundle,2016,Summer,Lucian/Trundle
680,RED,25,Tristana,Braum,2015,Spring,Tristana/Braum
711,RED,24,Fiora,RekSai,2016,Summer,Fiora/RekSai
712,RED,24,Irelia,Elise,2016,Summer,Irelia/Elise
713,RED,24,Nautilus,Khazix,2017,Spring,Nautilus/Khazix
714,RED,24,Renekton,Elise,2017,Spring,Renekton/Elise
715,RED,24,Ryze,Elise,2016,Spring,Ryze/Elise
716,RED,24,Shen,Graves,2017,Spring,Shen/Graves
717,RED,24,Gnar,Ezreal,2015,Summer,Gnar/Ezreal
718,RED,24,Gnar,Orianna,2015,Summer,Gnar/Orianna
719,RED,24,Nautilus,Syndra,2017,Spring,Nautilus/Syndra
720,RED,24,Gnar,Kalista,2015,Summer,Gnar/Kalista
721,RED,24,Gnar,Tristana,2015,Summer,Gnar/Tristana
722,RED,24,Graves,Kalista,2016,Spring,Graves/Kalista
723,RED,24,Lissandra,Kalista,2015,Spring,Lissandra/Kalista
724,RED,24,Nautilus,Lucian,2015,Summer,Nautilus/Lucian
725,RED,24,Poppy,Jhin,2017,Spring,Poppy/Jhin
726,RED,24,Shen,Lucian,2016,Summer,Shen/Lucian
727,RED,24,Trundle,Ezreal,2016,Summer,Trundle/Ezreal
728,RED,24,Poppy,Thresh,2017,Spring,Poppy/Thresh
729,RED,24,TwistedFate,RekSai,2015,Summer,TwistedFate/RekSai
730,RED,24,Taliyah,Varus,2017,Spring,Taliyah/Varus
731,RED,24,Orianna,Braum,2015,Summer,Orianna/Braum
732,RED,24,Orianna,Janna,2015,Summer,Orianna/Janna
733,RED,24,LeeSin,Alistar,2015,Summer,LeeSin/Alistar
734,RED,24,Varus,Lulu,2017,Spring,Varus/Lulu
735,RED,24,Varus,Malzahar,2017,Spring,Varus/Malzahar
765,RED,23,Gragas,LeeSin,2017,Summer,Gragas/LeeSin
766,RED,23,JarvanIV,Elise,2017,Summer,JarvanIV/Elise
767,RED,23,Shen,Orianna,2015,Summer,Shen/Orianna
768,RED,23,Fiora,Kalista,2016,Spring,Fiora/Kalista
769,RED,23,Irelia,Lucian,2016,Summer,Irelia/Lucian
770,RED,23,Renekton,Varus,2017,Spring,Renekton/Varus
771,RED,23,Gnar,TahmKench,2017,Summer,Gnar/TahmKench
772,RED,23,Irelia,Braum,2016,Summer,Irelia/Braum
773,RED,23,JarvanIV,Thresh,2015,Summer,JarvanIV/Thresh
774,RED,23,Maokai,Malzahar,2017,Spring,Maokai/Malzahar
775,RED,23,Poppy,Alistar,2016,Spring,Poppy/Alistar
776,RED,23,Ahri,LeeSin,2015,Spring,Ahri/LeeSin
777,RED,23,Syndra,RekSai,2016,Summer,Syndra/RekSai
778,RED,23,Orianna,Jhin,2017,Spring,Orianna/Jhin
779,RED,23,Orianna,Xayah,2017,Summer,Orianna/Xayah
780,RED,23,Viktor,Kalista,2016,Spring,Viktor/Kalista
781,RED,23,Azir,Alistar,2015,Summer,Azir/Alistar
782,RED,23,Azir,Bard,2016,Summer,Azir/Bard
783,RED,23,Azir,Karma,2015,Summer,Azir/Karma
784,RED,23,Orianna,Alistar,2015,Summer,Orianna/Alistar
785,RED,23,Syndra,Zyra,2017,Spring,Syndra/Zyra
786,RED,23,JarvanIV,Sivir,2015,Spring,JarvanIV/Sivir
787,RED,23,LeeSin,Kalista,2016,Spring,LeeSin/Kalista
788,RED,23,Nidalee,Sivir,2015,Summer,Nidalee/Sivir
789,RED,23,Rengar,Ashe,2017,Spring,Rengar/Ashe
790,RED,23,RekSai,Nami,2016,Summer,RekSai/Nami
791,RED,23,RekSai,Nautilus,2015,Summer,RekSai/Nautilus
792,RED,23,Ashe,Nami,2016,Summer,Ashe/Nami
793,RED,23,Caitlyn,Thresh,2017,Summer,Caitlyn/Thresh
794,RED,23,Jinx,Thresh,2015,Spring,Jinx/Thresh
795,RED,23,Lucian,Bard,2016,Summer,Lucian/Bard
835,RED,22,Fiora,Gragas,2016,Summer,Fiora/Gragas
836,RED,22,Lissandra,RekSai,2016,Spring,Lissandra/RekSai
837,RED,22,Maokai,Leblanc,2015,Spring,Maokai/Leblanc
838,RED,22,Fiora,Lucian,2016,Spring,Fiora/Lucian
839,RED,22,JarvanIV,Varus,2017,Summer,JarvanIV/Varus
840,RED,22,Nautilus,Ashe,2017,Spring,Nautilus/Ashe
841,RED,22,Nautilus,Jhin,2017,Spring,Nautilus/Jhin
842,RED,22,Gragas,Rakan,2017,Summer,Gragas/Rakan
843,RED,22,Maokai,Annie,2015,Spring,Maokai/Annie
844,RED,22,Ryze,Braum,2016,Summer,Ryze/Braum
845,RED,22,Corki,Elise,2016,Spring,Corki/Elise
846,RED,22,Corki,LeeSin,2016,Spring,Corki/LeeSin
847,RED,22,Syndra,Graves,2017,Spring,Syndra/Graves
848,RED,22,Varus,Gragas,2015,Summer,Varus/Gragas
849,RED,22,Vladimir,Gragas,2016,Summer,Vladimir/Gragas
850,RED,22,Azir,Kalista,2015,Summer,Azir/Kalista
851,RED,22,Cassiopeia,Tristana,2017,Summer,Cassiopeia/Tristana
852,RED,22,Corki,Lucian,2015,Spring,Corki/Lucian
853,RED,22,Leblanc,Ashe,2016,Summer,Leblanc/Ashe
854,RED,22,Azir,Thresh,2015,Summer,Azir/Thresh
855,RED,22,Syndra,Karma,2017,Spring,Syndra/Karma
856,RED,22,Taliyah,Braum,2017,Summer,Taliyah/Braum
857,RED,22,LeeSin,Ezreal,2017,Spring,LeeSin/Ezreal
858,RED,22,RekSai,Tristana,2015,Summer,RekSai/Tristana
859,RED,22,Sejuani,Thresh,2015,Summer,Sejuani/Thresh
860,RED,22,Jhin,Bard,2016,Summer,Jhin/Bard
900,RED,21,Ekko,Gragas,2015,Summer,Ekko/Gragas
901,RED,21,Irelia,Gragas,2015,Summer,Irelia/Gragas
902,RED,21,Trundle,RekSai,2016,Summer,Trundle/RekSai
903,RED,21,Renekton,Syndra,2017,Spring,Renekton/Syndra
904,RED,21,Shen,Leblanc,2016,Spring,Shen/Leblanc
905,RED,21,Shen,Syndra,2016,Summer,Shen/Syndra
906,RED,21,Gragas,Ashe,2017,Spring,Gragas/Ashe
907,RED,21,Rumble,Ashe,2016,Summer,Rumble/Ashe
908,RED,21,Trundle,Lucian,2016,Summer,Trundle/Lucian
909,RED,21,Fiora,Thresh,2016,Spring,Fiora/Thresh
910,RED,21,Gnar,Karma,2015,Summer,Gnar/Karma
911,RED,21,Lulu,Thresh,2015,Spring,Lulu/Thresh
912,RED,21,Renekton,Thresh,2015,Spring,Renekton/Thresh
913,RED,21,Cassiopeia,Khazix,2017,Spring,Cassiopeia/Khazix
914,RED,21,Kassadin,Gragas,2015,Spring,Kassadin/Gragas
915,RED,21,Corki,Caitlyn,2016,Spring,Corki/Caitlyn
916,RED,21,Taliyah,Jhin,2017,Summer,Taliyah/Jhin
917,RED,21,Viktor,Jhin,2016,Summer,Viktor/Jhin
918,RED,21,Vladimir,Sivir,2016,Summer,Vladimir/Sivir
919,RED,21,JarvanIV,Corki,2015,Spring,JarvanIV/Corki
920,RED,21,Elise,Lulu,2017,Spring,Elise/Lulu
921,RED,21,Elise,TahmKench,2017,Summer,Elise/TahmKench
922,RED,21,Elise,Trundle,2016,Spring,Elise/Trundle
923,RED,21,Ashe,Alistar,2015,Summer,Ashe/Alistar
924,RED,21,Ashe,Lulu,2017,Spring,Ashe/Lulu
925,RED,21,KogMaw,Braum,2017,Summer,KogMaw/Braum
970,RED,20,Ekko,RekSai,2016,Summer,Ekko/RekSai
971,RED,20,Nautilus,Corki,2016,Spring,Nautilus/Corki
972,RED,20,Nautilus,Orianna,2015,Summer,Nautilus/Orianna
973,RED,20,Shen,Viktor,2016,Summer,Shen/Viktor
974,RED,20,Trundle,Azir,2016,Spring,Trundle/Azir
